esrs,dr,paragraph,name,datatype,appendix,voluntary
S1,S1-1,19,"Policies to manage material impacts, risks and opportunities related to its own workforce [see ESRS 2 MDR-P]",MDR-P,,
S1,S1-1,19,"Policies to manage material impacts, risks and opportunities related to own workforce, including for specific groups within workforce or all own workforce",semi-narrative,,
S1,S1-1,AR10,Disclosure of explanations of significant changes to policies adopted during reporting year ,narrative,,V
S1,S1-1,20,Description of relevant human rights policy commitments relevant to own workforce,narrative,SFDR,
S1,S1-1,20a,"Disclosure of general approach in relation to respect for human rights including labour rights, of people in its own workforce",narrative,SFDR,
S1,S1-1,20b,Disclosure of general approach in relation to engagement with people in its own workforce,narrative,SFDR,
S1,S1-1,20c,Disclosure of general approach in relation to measures to provide and (or) enable remedy for human rights impacts ,narrative,SFDR,
S1,S1-1,21,Disclosure of whether and how policies are aligned with relevant internationally recognised instruments ,narrative,SFDR,
S1,S1-1,22,"Policies explicitly address trafficking in human beings, forced labour or compulsory labour and child labour",semi-narrative,SFDR,
S1,S1-1,23,Workplace accident prevention policy or management system is in place,semi-narrative,SFDR,
S1,S1-1,24a,Specific policies aimed at elimination of discrimination are in place,semi-narrative,,
S1,S1-1,24b,Grounds for discrimination are specifically covered in policy,semi-narrative,,
S1,S1-1,24c,Disclosure of specific policy commitments related to inclusion and (or) positive action for people from groups at particular risk of vulnerability in own workforce ,narrative,,
S1,S1-1,24d,"Disclosure of whether and how policies are implemented through specific procedures to ensure discrimination is prevented, mitigated and acted upon once detected, as well as to advance diversity and inclusion ",narrative,,
S1,S1-1,AR 14,"Disclosure on an illustration of the types of communication of its policies to those individuals, group of individuals or entities for whom they are relevant",narrative,,V
S1,S1-1,AR 17 a),"Policies and procedures which make qualifications, skills and experience the basis for the recruitment, placement, training and advancement are in place or planned",semi-narrative,,V
S1,S1-1,AR 17 b),"Has or planning to assign responsibility at top management level for equal treatment and opportunities in employment, issue clear company-wide policies and procedures to guide equal employment practices, and link advancement to desired performance in this area",semi-narrative,,V
S1,S1-1,AR 17 c),Staff training on non-discrimination policies and practices are in planned or in place,semi-narrative,,V
S1,S1-1,AR 17 d),"Adjustments to the physical environment to ensure health and safety for workers, customers and other visitors with disabilities are planned or in place",semi-narrative,,V
S1,S1-1,AR 17 e),Plans to evaluate or has evaluated whether a there is a risk that job requirements have been defined in a way that would systematically disadvantage certain groups,semi-narrative,,V
S1,S1-1,AR 17 f),"Planing to keep or keeping an up-to-date records on recruitment, training and promotion that provide a transparent view of opportunities for employees and their progression",semi-narrative,,V
S1,S1-1,AR 17 g),"Has put in place or plans to put in place grievance procedures to address complaints, handle appeals and provide recourse for employees when discrimination is identified, and is alert to formal structures and informal cultural issues that can prevent employees from raising concerns and grievances",semi-narrative,,V
S1,S1-1,AR 17 h),Have or plans to have programs to promote access to skills development. ,semi-narrative,,V
S1,S1-2,27,Disclosure of whether and how perspectives of own workforce  inform decisions or activities aimed at managing actual and potential  impacts ,narrative,,
S1,S1-2,27a,Engagement occurs with own workforce  or their representatives,semi-narrative,,
S1,S1-2,27b,"Disclosure of stage at which engagement occurs, type of engagement and frequency of engagement ",narrative,,
S1,S1-2,27c,Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertaking’s approach ,narrative,,
S1,S1-2,27d,Disclosure of Global Framework Agreement or other agreements related to respect of human rights of workers ,narrative,,
S1,S1-2,27e,Disclosure of how effectiveness of engagement with its own workforce  is assessed ,narrative,,
S1,S1-2,28,Disclosure of steps taken to gain insight into perspectives of people in its own workforce that may be particularly vulnerable to impacts and (or) marginalised ,narrative,,
S1,S1-2,29,Statement in case the undertaking has not adopted a general process to engage with its own workforce,narrative,,
S1,S1-2,29,Disclosure of timeframe for adoption of general process to engage with its own workforce in case the undertaking has not adopted a general process for engagement,narrative,,V
S1,S1-2,AR 25 a,Disclosure of how undertaking engages with at-risk or persons in vulnerable situations,narrative,,V
S1,S1-2,AR 25 b,Disclosure of how potential barriers to engagement with people in its workforce are taken into account ,narrative,,V
S1,S1-2,AR 25 c,Disclosure of how people in its workforce are provided with information that is understandable and accessible through appropriate communication channels ,narrative,,V
