esrs,dr,paragraph,name,datatype,appendix,voluntary
E5,E5-1,14,"Policies to manage its material impacts, risks and opportunities related to resource use and circular economy [see ESRS 2 MDR-P]",MDR-P,,
E5,E5-1,15a,"Disclosure of whether and how policy addresses transitioning away from extraction of virgin resources, including relative increases in use of secondary (recycled) resources",narrative,,
E5,E5-1,15b,Disclosure of whether and how policy addresses sustainable sourcing and use of renewable resources,narrative,,
E5,E5-1,AR 9 a,"Description of whether and how policy addresses waste hierarchy (prevention, preparing for re-use, recycling, other recovery, disposal) ",narrative,,V
E5,E5-1,AR 9 b,Description of  whether and how policy addresses prioritisation of strategies to avoid or minimise waste over waste treatment strategies ,narrative,,V
E5,E5-2,19,Actions and resources in relation to resource use and circular economy [see ESRS 2 MDR-A],MDR-A,,
E5,E5-2,20 a,Description of higher levels of resource efficiency in use of technical and biological materials and water,narrative,,V
E5,E5-2,20b,Description of higher rates of use of secondary raw materials,narrative,,V
E5,E5-2,20c,Description of application of circular design,narrative,,V
E5,E5-2,20d,Description of application of circular business practices,narrative,,V
E5,E5-2,20e,Description of actions taken to prevent waste generation,narrative,,V
E5,E5-2,20f,Description of Optimistation of waste management in,narrative,,V
E5,E5-2,AR 11,Information about collective action on development of collaborations or initiatives increasing circularity of products and materials ,narrative,,V
E5,E5-2,AR 12 a,Description of contribution to circular economy ,narrative,,V
E5,E5-2,AR 12 b,Description of other stakeholders involved in collective action (resource use and circular economy) ,narrative,,V
E5,E5-2,AR 12 c,Description of organisation of project (resource use and circular economy) ,narrative,,V
E5,E5-3,23,Tracking effectiveness of policies and actions through targets [see ESRS 2 MDR-T ],MDR-T,,
E5,E5-3,24,Disclosure of how target relates to resources (resource use and circular economy) ,narrative,,
E5,E5-3,24 a,Disclosure of how target relates to increase of circular design ,narrative,,
E5,E5-3,24 b,Disclosure of how target relates to increase of circular material use rate ,narrative,,
E5,E5-3,24 c,Disclosure of how target relates to minimisation of primary raw material ,narrative,,
E5,E5-3,24 d,Disclosure of how target relates to reversal of depletion of stock of renewable resources ,narrative,,
E5,E5-3,24 e,Target relates to waste management,semi-narrative,,
E5,E5-3,24 e,Disclosure of how target relates to waste management ,narrative,,
E5,E5-3,24 f,Disclosure of how target relates to other matters related to resource use or circular economy,narrative,,
E5,E5-3,25,Layer in waste hierarchy to which target relates,semi-narrative,,
E5,E5-3,26 a,Disclosure of ecological threshold identified and methodology used to identify ecological threshold (resource use and circular economy) ,narrative,,V
E5,E5-3,26 b,Disclosure of how ecological entity-specific threshold was determined (resource use and circular economy) ,narrative,,V
E5,E5-3,26 c,Disclosure of how responsibility for respecting identified ecological threshold is allocated (resource use and circular economy) ,narrative,,V
E5,E5-3,27,The targets being  set and presented are mandatory (required by legislation),semi-narrative,,
E5,E5-4,30,Disclosure of information on material resource inflows ,narrative,,
E5,E5-4,31a,Overall total weight of products and technical and biological materials used during the reporting period,Mass,,
E5,E5-4,31b,Percentage of biological materials (and biofuels used for non-energy purposes),Percent,,
E5,E5-4,31c,"The absolute weight of secondary reused or recycled components, secondary intermediary products and secondary materials used to manufacture the undertaking�s products and services (including packaging)",Mass,,
E5,E5-4,31c,"Percentage of secondary reused or recycled components, secondary intermediary products and secondary materials",Percent,,
E5,E5-4,32,Description of methodologies used to calculate data and key assumptions used,narrative,,
E5,E5-4,AR 22,Description of materials that are sourced from by-products or waste stream ,narrative,,
E5,E5-4,AR 25,Description of how double counting was avoided and of choices made ,narrative,,
E5,E5-5,35,Description of the key products and materials that come out of the undertaking�s production process,narrative,,
E5,E5-5,36a,"Disclosure of the expected durability of the products placed on the market, in relation to the industry average for each product group",Table/Percent,,
E5,E5-5,36b,Disclosure of the reparability of products,narrative,,
E5,E5-5,36c,The rates of recyclable content in products,Percent,,
E5,E5-5,36c,The rates of recyclable content in products packaging,Percent,,
E5,E5-5,40,Description of methodologies used to calculate data (resource outflows) ,narrative,,
E5,E5-5,37 a,Total Waste generated,Mass,,
E5,E5-5,37 b,Hazardous waste diverted from disposal,Mass,,
E5,E5-5,37b(i),Hazardous waste diverted from disposal due to preparation for reuse,Mass,,
E5,E5-5,37b(ii),Hazardous waste diverted from disposal due to recycling,Mass,,
E5,E5-5,37b(ii),Hazardous waste diverted from disposal due to other recovery operations,Mass,,
