esrs,dr,paragraph,name,datatype,appendix,voluntary
E4,E4-1,13 a,"Disclosure of resilience of current business model(s) and strategy to biodiversity and ecosystems-related physical, transition and systemic risks and opportunities ",narrative,,
E4,E4-1,13 b,Disclosure of scope of resilience analysis along own operations and related upstream and downstream value chain ,narrative,,
E4,E4-1,13 c,Disclosure of key assumptions made (biodiversity and ecosystems) ,narrative,,
E4,E4-1,13 d,Disclosure of time horizons used for analysis (biodiversity and ecosystems) ,narrative,,
E4,E4-1,13 e,Disclosure of results of resilience analysis (biodiversity and ecosystems) ,narrative,,
E4,E4-1,13 f,Disclosure of involvement of stakeholders (biodiversity and ecosystems) ,narrative,,
E4,E4-1,AR 1 a,"Explanation of how strategy and business model will be adjusted to improve and, ultimately, achieve alignment with relevant local, national and global public policy goals",narrative,,V
E4,E4-1,AR 1 b,Include information about  its own operations and  explain how it is responding to material impacts in its related value chain,narrative,�,V
E4,E4-1,AR 1 c,Explanation of how b strategy interacts with  transition plan ,narrative,,V
E4,E4-1,AR 1 d,Disclosure of contribution to impact drivers and possible mitigation actions following mitigation hierarchy and main path-dependencies and locked-in assets and resources that are associated with biodiversity and ecosystems change ,narrative,,V
E4,E4-1,AR 1 e,Explanation and quantification of investments and funding supporting the implementation of its transition plan,narrative,,V
E4,E4-1,AR 1  f,"Disclosure of objectives or plans for aligning economic activities (revenues, CapEx)",narrative,,V
E4,E4-1,AR 1 g,Biodiversity offsets are part of transition plan,narrative,,V
E4,E4-1,AR 1  h,Information about how process of implementing and updating transition plan is managed ,narrative,,V
E4,E4-1,AR 1  i,"Administrative, management and supervisory bodies have approved transition plan",narrative,,V
E4,E4-1,AR 1  j,Indication of metrics and related tools used to measure progress that are integrated in measurement approach (biodiversity and ecosystems) ,narrative,,V
E4,E4-1,AR 1  k,Indication of current challenges and limitations to draft plan in relation to areas of significant impact and actions company is taking to address them (biodiversity and ecosystems) ,narrative,,V
E4,E4-2,22,"Policies to manage material impacts, risks, dependencies and opportunities related to biodiversity and ecosystems [see ESRS 2 - MDR-P]",MDR-P,,
E4,E4-2,23 a,Disclosure on whether and how biodiversity and ecosystems-related policies relate to matters reported in E4 AR4,narrative,,
E4,E4-2,23 b,Explanation of whether and  how biodiversity and ecosystems-related policy relates to material biodiversity and ecosystems-related impacts ,narrative,,
E4,E4-2,23 c,Explanation of whether and  how biodiversity and ecosystems-related policy relates to material dependencies and material physical and transition risks and opportunities ,narrative,,
E4,E4-2,23 d,"Explanation of whether and how biodiversity and ecosystems-related policy supports traceability of products, components and raw materials with significant actual or potential impacts on biodiversity and ecosystems along value chain ",narrative,,
E4,E4-2,23 e,"Explanation of whether and how biodiversity and ecosystems-related policy addresses production, sourcing or consumption from ecosystems that are managed to maintain or enhance conditions for biodiversity ",narrative,,
E4,E4-2,23 f,Explanation of whether and how biodiversity and ecosystems-related policy addresses social consequences of biodiversity and ecosystems-related impacts ,narrative,,
E4,E4-2,AR 12,"Disclosure of how policy refers to production, sourcing or consumption of raw materials ",narrative,,V
E4,E4-2,AR 12 a,Disclosure of how policy refers to policies limiting procurement from suppliers that cannot demonstrate that they are not contributing to significant conversion of protected areas or key biodiversity areas ,narrative,,V
E4,E4-2,AR 12 b,Disclosure of how policy refers to recognised standards or third-party certifications overseen by regulators ,narrative,,V
E4,E4-2,AR 12 c,"Disclosure of how policy addresses raw materials originating from ecosystems that have been managed to maintain or enhance conditions for biodiversity, as demonstrated by regular monitoring and reporting of biodiversity status and gains or losses",narrative,,V
E4,E4-2,AR 16,"Disclosure of how the policy enables to a), b), c) and d)",narrative,,V
E4,E4-2,AR 17 a,Third-party standard of conduct used in policy is objective and achievable based on scientific approach to identifying issues and realistic in assessing how these issues can be addressed under variety of practical circumstances,semi-narrative,,V
E4,E4-2,AR 17 b,Third-party standard of conduct used in policy is developed or maintained through process of ongoing consultation with relevant stakeholders with balanced input from all relevant stakeholder groups with no group holding undue authority or veto power over content,semi-narrative,,V
E4,E4-2,AR 17 c,Third-party standard of conduct used in policy encourages step-wise approach and continuous improvement in standard and its application of better management practices and requires establishment of meaningful targets and specific milestones to indicate progress against principles and criteria over time,semi-narrative,,V
