esrs,dr,paragraph,name,datatype,appendix,voluntary
S2,S2-1,16,"Policies to manage material impacts, risks and opportunities related to value chain workers [see ESRS 2 MDR-P]",MDR-P,,
S2,S2-1,17,Description of relevant human rights policy commitments relevant to value chain workers,narrative,SFDR,
S2,S2-1,17a,Disclosure of general approach in relation to respect for human rights relevant to value chain workers,narrative,SFDR,
S2,S2-1,17b,Disclosure of general approach in relation to engagement with value chain workers,narrative,SFDR,
S2,S2-1,17 c,Disclosure of general approach in relation to measures to provide and (or) enable remedy for human rights impacts ,narrative,SFDR,
S2,S2-1,18,Sustainability matters addressed by policy,semi-narrative,,
S2,S2-1,19,Description of how policies are aligned with relevant internationally recognised instruments ,narrative,,
S2,S2-1,AR 12,Disclosure of explanations of significant changes to policies adopted during reporting year ,narrative,,V
S2,S2-2,22,Disclosure of how perspectives of  value chain workers  inform decisions or activities aimed at managing actual and potential  impacts ,narrative,,
S2,S2-2,22 a,"Engagement occurs with value chain workers or their legitimate
representatives directly, or with credible proxies",semi-narrative,,
S2,S2-2,22 b,"Disclosure of stage at which engagement occurs, type of engagement and frequency of engagement ",narrative,,
S2,S2-2,22 c,Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertakings approach ,narrative,,
S2,S2-2,22 d,Disclosure of Global Framework Agreement or other agreements related to respect of human rights of workers ,narrative,,
S2,S2-2,22 e,Disclosure of how effectiveness of engagement with  value chain workers  is assessed ,narrative,,
S2,S2-2,23,Disclosure of steps taken to gain insight into perspectives of  value chain workers / consumers and end-users that may be particularly vulnerable to impacts and (or) marginalised ,narrative,,
S2,S2-2,24,Statement in case the undertaking has not adopted a general process to engage with its own workforce,narrative,,
S2,S2-2,24,Disclosure of timeframe for adoption of general process to engage with  value chain workers  in case the undertaking has not adopted a general process for engagement,narrative,,V
S2,S2-2,AR 17,Type of role or function handling with engagement,semi-narrative,,V
S2,S2-3,27 a ,Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has identified that it connected with a material negative impact on  value chain workers  ,narrative,,
S2,S2-3,27 b ,Disclosure of specific channels in place for  value chain workers  to raise concerns or needs directly with undertaking and have them addressed ,narrative,,
S2,S2-3,27 c ,Disclosure of processes through which undertaking supports or requires availability of channels ,narrative,,
S2,S2-3,27 d ,Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured ,narrative,,
S2,S2-3,28,Disclosure of how it is assessed that  value chain workers  are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed ,narrative,,
S2,S2-3,29,Disclosure of timeframe for channel or processes for raising concerns to be in place in case the undertaking has not adopted a general process for engagement,narrative,,V
S2,S2-3,AR 25,Grievances are treated confidentially and with respect to rights of privacy and data protection,semi-narrative,,V
S2,S2-3,AR 25,Value chain workers  are allowed to use anonymously channels to raise concerns or needs,semi-narrative,,V
S2,S2-4,MDR-A,"Action plans and resources to manage its material impacts, risks, and opportunities related to value chain workers [see ESRS 2 - MDR-A]",MDR-A,,
S2,S2-4,32 a ,"Description of action planned or underway to prevent, mitigate or remediate material negative impacts on  value chain workers  ",narrative,,
S2,S2-4,32 b,Description of whether and how action to provide or enable remedy in relation to an actual material impact,narrative,,
S2,S2-4,32 c,Description of additional initiatives or processes with primary purpose of delivering positive impacts for  value chain workers ,narrative,,
